line number,id,date (YYMMDD),calcium imaging directory,ephys directory,indices of TTL events to delete,zero time (s),baseline period (min),frame rate,decay_time,dims,update_background_components,method_deconvolution,method_init,K,gSig,gSiz,tsub,ssub,ssub_B,ring_size_factor,min_corr,min_pnr,normalize_init,center_psf,nb,p,del_duplicates,border_pix,low_rank_background,rf,stride,only_init,nb_patch,min_SNR,rval_thr,use_cnn,merge_thr,pw_rigid,shifts_opencv,max_shifts,gSig_filt,strides,overlaps,max_deviation_rigid,border_nan,crop,periods of high slow wave power (s),comments
1,Rtest,200803,,D:\Dropbox\Documents\Brown_Lab\data_analysis_code\miniscopes_EEG\testing\test_recordings\Rtest_200803,,0,,30,0.25,"(608, 608)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,
2,Rtest,200914,,D:\Dropbox\Documents\Brown_Lab\data_analysis_code\miniscopes_EEG\testing\test_recordings\Rtest_200914,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,R201209,210111,D:\Dropbox\Documents\Brown_Lab\experimental_data\miniscope_data\R201209\2021_01_11\10_32_24,,,0,,30,0.4,"(480, 752)",TRUE,oasis,corr_pnr,None,"(3, 3)","(13, 13)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,FALSE,TRUE,"(5, 5)","(3, 3)","(48, 48)","(24, 24)",3,copy,,,
4,R210413,210510,D:\Dropbox\Documents\Brown_Lab\experimental_data\miniscope_data\R210413\2021_05_10\13_45_03,,,0,,10,0.4,"(480, 752)",TRUE,oasis,corr_pnr,None,"(3, 3)","(13, 13)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,FALSE,TRUE,"(5, 5)","(3, 3)","(48, 48)","(24, 24)",3,copy,,,
5,,,D:\Dropbox\Documents\Brown_Lab\experimental_data\miniscope_data\surgery\R210721\2021_10_12\19_05_58,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,D:\Dropbox\Documents\Brown_Lab\experimental_data\miniscope_data\test\R211013\2021_11_02\10_39_21,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,D:\Dropbox\Documents\Brown_Lab\experimental_data\miniscope_data\test\R211022\2021_11_02\10_58_59,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,D:\Dropbox\Documents\Brown_Lab\experimental_data\miniscope_data\test\R211013\2021_11_16\10_12_56,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,D:\Dropbox\Documents\Brown_Lab\experimental_data\miniscope_data\test\R211013\2021_11_16\10_14_43,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,D:\Dropbox\Documents\Brown_Lab\experimental_data\Neuralynx_data\test_miniscope_noise\2021-12-10_14-29-31,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,D:\Dropbox\Documents\Brown_Lab\experimental_data\Neuralynx_data\test_miniscope_noise\2022-02-16_15-18-20,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,D:\Dropbox\Documents\Brown_Lab\experimental_data\Neuralynx_data\test_miniscope_noise\2022-03-09_14-21-05,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,D:\Dropbox\Documents\Brown_Lab\experimental_data\Neuralynx_data\test_miniscope_noise\2022-03-09_14-35-44,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,D:\Dropbox\Documents\Brown_Lab\experimental_data\Neuralynx_data\test_miniscope_noise\2022-03-09_14-21-05,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,R220606,220721,../../experimental_data/miniscope_data/test/R220606/2022_07_21/14_40_42,,,0,,30,0.4,"(391 ,389)",TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(121,462, 510,71)",,
16,R220606,220721,../../experimental_data/miniscope_data/test/R220606/2022_07_21/16_20_59,,,0,,30,0.4,"(391 ,389)",TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(121,462, 510,71)",,
17,R220607,220721,../../experimental_data/miniscope_data/test/R220607/2022_07_21/15_49_00,,,0,,30,0.4,"(391 ,389)",TRUE,oasis,corr_pnr,None,"(7, 7)","(29, 29)",2,1,2,1.4,0.8,10,FALSE,TRUE,0,1,TRUE,0,None,40,20,TRUE,0,2.5,0.85,FALSE,0.7,TRUE,TRUE,"(15, 15)","(7, 7)","(48, 48)","(24, 24)",7,copy,"(121,462, 510,71)",,
